0 1000000 990000 1002500 
1 264218 257635 265065 
2 170062 164548 171549 
3 125312 119692 127688 
4 98498 93432 101100 
5 81271 75964 83926 
6 69313 63561 71049 
7 59843 54566 61570 
8 52392 48002 54017 
9 46681 42052 48453 
10 42248 37302 43387 
11 38279 33195 39224 
12 34670 30311 36424 
13 31736 27549 34301 
14 29041 25075 31517 
15 27156 23228 29443 
16 25172 21250 27779 
17 23662 19072 25968 
18 22304 17535 24739 
19 21372 16331 23140 
20 19658 15163 21693 
21 18542 13970 20740 
22 17729 12787 20028 
23 16777 12006 19129 
24 15802 11302 17878 
25 15025 10661 17069 
26 14720 9758 16234 
27 13742 9272 15426 
28 13080 8584 14619 
29 12422 8038 14298 
30 11748 7663 13696 
31 11309 7072 13024 
32 10696 6800 12404 
33 10272 6408 12133 
34 9861 6280 11623 
35 9678 5895 11150 
36 9382 5554 11009 
37 9218 5322 10616 
38 8963 5083 10304 
39 8612 4888 10079 
40 8344 4526 10049 
41 8184 4110 9737 
42 7948 3936 9627 
43 7729 3644 9150 
44 7464 3605 8918 
45 7134 3455 8568 
46 6708 3432 8181 
47 6466 3512 8213 
48 6354 3273 8008 
49 6196 3028 7852 
50 5963 2771 7606 
51 6041 2616 7493 
52 5839 2594 7251 
53 5662 2560 7073 
54 5499 2352 6938 
55 5258 2346 6740 
56 5278 2151 6627 
57 5041 2108 6624 
58 5105 2142 6553 
59 5148 2072 6494 
60 4877 2004 6328 
61 4706 1950 6427 
62 4659 1906 6363 
63 4604 1767 6457 
64 4644 1740 6478 
65 4539 1659 6483 
66 4450 1570 6206 
67 4462 1533 6011 
68 4418 1461 5815 
69 4347 1446 5533 
70 4266 1477 5374 
71 4204 1443 5353 
72 3993 1350 5155 
73 3743 1266 5106 
74 3656 1260 5110 
75 3469 1113 5116 
76 3529 1101 4932 
77 3461 1009 4945 
78 3552 927 4714 
79 3452 855 4424 
80 3399 841 4316 
81 3258 777 4250 
82 3190 843 4178 
83 3218 837 4026 
84 3135 855 3955 
85 3083 746 3951 
86 3009 633 3979 
87 2828 663 3938 
88 2715 576 3845 
89 2638 603 3675 
90 2554 537 3603 
91 2516 519 3737 
92 2419 492 3693 
93 2415 450 3397 
94 2416 408 3470 
95 2266 399 3357 
96 2139 321 3259 
97 2123 291 3273 
98 2151 300 3404 
99 2122 309 3562 
100 2174 282 3436 
101 2182 276 3292 
102 2124 267 3242 
103 2241 291 3209 
